population,generations_ago,Ne
Africa,1384.0160965731316,18045.157241549437
Africa,1396.8351179887395,17955.330249052324
Africa,1409.7728716289678,17947.79895751962
Africa,1422.830457214352,17928.378758566654
Africa,1436.0089846512606,17781.867210031327
Africa,1449.3095741262166,17725.07509411493
Africa,1462.73335620113,17587.11948158114
Africa,1476.281471909391,17538.047320567788
Africa,1489.9550728528536,17490.86366141076
Africa,1503.7553212997384,17444.635634791248
Africa,1517.6833902834053,17219.89030648707
Africa,1531.7404637020798,17142.50482203404
Africa,1545.9277364194786,17076.9990072682
Africa,1560.2464143663678,17006.26743462526
Africa,1574.6977146430868,16995.415876492385
Africa,1589.282865622978,16885.66095315889
Africa,1604.00310705682,16719.292041633395
Africa,1618.8596901781991,16672.7799523051
Africa,1633.8538778098605,16435.467321206776
Africa,1648.9869444710648,16407.041980058544
Africa,1664.2601764859037,16238.77388753015
Africa,1679.6748720926532,16101.2868414793
Africa,1695.2323415541214,15999.251006113003
Africa,1710.9339072690134,15836.433154175362
Africa,1726.780903884356,15759.150130752776
Africa,1742.774678408919,15720.335721455722
Africa,1758.9165903277326,15710.447827499562
Africa,1775.208011717636,15669.23388647596
Africa,1791.6503273638996,15641.734266945532
Africa,1808.2449348779517,15637.50254062003
Africa,1824.9932448161524,15625.374384524735
Africa,1841.8966807997108,15573.654139048283
Africa,1858.9566796356885,15488.989651891112
Africa,1876.1746914391192,15396.403116996556
Africa,1893.5521797562951,15396.403116996556
Africa,1911.0906216891376,15333.208594377627
Africa,1928.7915080207777,15243.62549656953
Africa,1946.6563433422632,15189.026522671384
Africa,1964.6866461804443,15106.523767866223
Africa,1982.8839491270712,14997.834714047778
Africa,2001.249798969037,14932.423756860231
Africa,2019.7857568198783,14823.32543329212
Africa,2038.493398252464,14770.686695590312
Africa,2057.3743134329115,14770.686695590312
Africa,2076.4301072557746,14741.821511038506
Africa,2095.662399480433,14688.542237326015
Africa,2115.0728248687947,14588.846234861943
Africa,2134.6630333242456,14541.379686430588
Africa,2154.4346900318824,14477.559856907472
Africa,2174.38947560008,14424.655130462965
Africa,2194.5290862033135,14361.486992133296
Africa,2214.855233726359,14342.747422533876
Africa,2235.3696459097964,14301.887632119537
Africa,2256.0740664968594,14272.74109708829
Africa,2276.97025538168,14243.337359627258
Africa,2298.059988758851,14210.519364689344
Africa,2319.3450592744275,14207.280069593176
Africa,2340.827276178294,14205.373614965984
Africa,2362.5084654779453,14133.570657704371
Africa,2384.3904700937205,14117.201713044924
Africa,2406.4751500154243,14117.201713044924
Africa,2428.76438246045,14107.223540411893
Africa,2451.2600620333396,14030.674462844912
Africa,2473.9641008868116,14019.180943210347
Africa,2496.8784288843267,13982.626619085484
Africa,2520.004993764092,13972.632232205791
Africa,2543.345761304648,13972.632232205791
Africa,2566.902715491952,13925.788748830017
Africa,2590.6778586880064,13925.788748830017
Africa,2614.6732118010923,13886.339550048378
Africa,2638.8908144575103,13884.440403413291
Africa,2663.3327251749806,13884.440403413291
Africa,2688.0010215376074,13836.336308520966
Africa,2712.8978003724646,13800.885539226225
Africa,2738.025177927858,13723.018985710609
Africa,2763.3852900531697,13713.73238268368
Africa,2788.9802923804396,13713.73238268368
Africa,2814.812360507581,13679.936399324934
Africa,2840.883690183301,13632.017222904196
Africa,2867.1964974937696,13544.013018217776
Africa,2893.75301905095,13533.75406250358
Africa,2920.555512182745,13511.519224438684
Africa,2947.6062551248588,13424.554049500564
Africa,2974.9075472144405,13392.28583501025
Africa,3002.461709085549,13350.269002075973
Africa,3030.271082866396,13333.977223263277
Africa,3058.338032378432,13289.05249151938
Africa,3086.6649433372745,13289.05249151938
Africa,3115.254223555488,13275.566132205531
Africa,3144.108303147265,13267.401726920663
Africa,3173.229634734976,13275.566132205531
Africa,3202.62069365765,13267.401726920663
Africa,3232.2839781813805,13261.68447465834
Africa,3262.2220097116697,13257.485062465748
Africa,3292.4373330077688,13257.485062465748
Africa,3322.9325163989715,13257.485062465748
Africa,3353.7101520029287,13215.851711372949
Africa,3384.772855945983,13215.851711372949
Africa,3416.1232685855284,13146.171465741469
Africa,3447.764054734464,13142.75276766898
Africa,3479.6979038876916,13103.824534911982
Africa,3511.927530450728,13103.824534911982
Africa,3544.4556739704353,13095.673774341216
Africa,3577.2850993678735,13066.28209306045
Africa,3610.4185971733377,13066.28209306045
Africa,3643.858983763545,13027.616425285249
Africa,3677.6091016010305,12938.538921429854
Africa,3711.671819475767,12962.598978980017
Africa,3746.050032748993,12898.661648319949
Africa,3780.746663599349,12888.84990729225
Africa,3815.764661271248,12880.832222953875
Africa,3851.107002325569,12880.832222953875
Africa,3886.776690892668,12816.46365451168
Africa,3922.77675892772,12800.903183234775
Africa,3959.1102664684586,12805.405605626724
Africa,3995.7803018952695,12805.405605626724
Africa,4032.789982193706,12781.741471647989
Africa,4070.1424532194383,12781.741471647989
Africa,4107.840889965647,12696.028907487516
Africa,4145.888496832911,12696.028907487516
Africa,4184.288507901585,12716.452793424218
Africa,4223.044187206672,12696.028907487516
Africa,4262.158829015325,12680.009568216716
Africa,4301.635758106795,12642.378081011577
Africa,4341.478330055093,12627.71336524352
Africa,4381.6899315141945,12619.389414037783
Africa,4422.273980505897,12611.243491385248
Africa,4463.233926710397,12619.389414037783
Africa,4504.573251759459,12627.4574712197
Africa,4546.2954695324,12604.884020701134
Africa,4588.404126454761,12497.150799595049
Africa,4630.902801799737,12541.748158727036
Africa,4673.795107992463,12478.417546544611
Africa,4717.084690917018,12472.910749733504
Africa,4760.775230226368,12471.052792211813
Africa,4804.870439655134,12471.052792211813
Africa,4849.374067335233,12414.727519660824
Africa,4894.289896114532,12375.379680397891
Africa,4939.621743878321,12341.466553813983
Africa,4985.373463873893,12311.203447958162
Africa,5031.548945038056,12311.203447958162
Africa,5078.152112327671,12311.203447958162
Africa,5125.1869270533325,12295.387487659224
Africa,5172.657387216019,12283.524068757986
Africa,5220.567527846975,12274.246000262072
Africa,5268.921421350677,12260.939663357543
Africa,5317.723177850967,12235.779460970549
Africa,5366.976945540476,12218.75103252535
Africa,5416.686911033152,12197.780164970767
Africa,5466.857299720181,12180.34644922148
Africa,5517.492376129128,12197.780164970767
Africa,5568.596444286409,12180.34644922148
Africa,5620.173848083188,12078.049532754394
Africa,5672.228971644544,12065.315384028949
Africa,5724.766239702179,12050.169198306394
Africa,5777.790117970507,12020.227807461622
Africa,5831.3051135262185,11967.841953628318
Africa,5885.3157751914505,11967.841953628318
Africa,5939.826693920357,11957.925966930354
Africa,5994.8425031894085,11950.068838521089
Africa,6050.367879391224,11915.71823638126
Africa,6106.407542232037,11897.104763853236
Africa,6162.966255132942,11849.46817754381
Africa,6220.048825634712,11841.22593725978
Africa,6277.6601058065,11829.11048658882
